id,citekey,title,authors,year,month,journal,book_title,publisher,institution,volume,number,pages,note,keywords,url,code,pdf,image,thumbnail,doi,external,abstract,isbn,type_id
689.0,,Visual Imitation Learning of Non-Prehensile Manipulation Tasks with Dynamics-Supervised Models,A. Mustafa; R. Hanai; I. G. Ramirez-Alpizar; F. Erich; R. Nakajo; Y. Domae; T. Ogata,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"National Institute of Advanced Industrial Science and Technology (AIST), Japan; National Institute of Advanced Industrial Science and Technology (AIST), Japan; National Institute of Advanced Industrial Science and Technology (AIST), Japan; National Institute of Advanced Industrial Science and Technology (AIST), Japan; National Institute of Advanced Industrial Science and Technology (AIST), Japan; National Institute of Advanced Industrial Science and Technology (AIST), Japan; Graduate School of Fundamental Science and Engineering, Waseda University, Tokyo, Japan",0,0,,,Training;Visualization;Accuracy;Imitation learning;Computer architecture;Predictive models;Feature extraction;Proposals;Manipulator dynamics;Image reconstruction,,https://github.com/Automation-Research-Team/DynamicsMapping-2D,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711321,,,10.1109/CASE59546.2024.10711321,False,"Unlike quasi-static robotic manipulation tasks like pick-and-place, dynamic tasks such as non-prehensile manipulation pose greater challenges, especially for vision-based control. Successful control requires the extraction of features relevant to the target task. In visual imitation learning settings, these features can be learnt by backpropagating the policy loss through the vision backbone. Yet, this approach tends to learn task-specific features with limited generalizability. Alternatively, learning world models can realize more generalizable vision backbones. Utilizing the learnt features, task-specific policies are subsequently trained. Commonly, these models are trained solely to predict the next RGB state from the current state and action taken. But only-RGB prediction might not fully-capture the task-relevant dynamics. In this work, we hypothesize that direct supervision of target dynamic states (Dynamics Mapping) can learn better dynamics-informed world models. Beside the next RGB reconstruction, the world model is also trained to directly predict position, velocity, and acceleration of environment rigid bodies. To verify our hypothesis, we designed a non-prehensile 2D environment tailored to two tasks: ""Balance-Reaching"" and ""Bin-Dropping"". When trained on the first task, dynamics mapping enhanced the task performance under different training configurations (Decoupled, Joint, End-to-End) and policy architectures (Feedforward, Recurrent). Notably, its most significant impact was for world model pretraining boosting the success rate from 21% to 85%. Although frozen dynamics-informed world models could generalize well to a task with in-domain dynamics, but poorly to a one with out-of-domain dynamics. Code available at: https://github.com/Automation-Research-Team/DynamicsMapping-2D",979-8-3503-5851-3,2
690.0,,DMG6D: A Depth-based Multi-Flow Global Feature Fusion Network for 6D Pose Estimation,Z. Wang; Q. Zhang; X. Sun; J. Zhu; H. Wei,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"College of Automation, Jiangsu University of Science and Technology, Zhenjiang, China; College of Automation, Jiangsu University of Science and Technology, Zhenjiang, China; College of Automation, Jiangsu University of Science and Technology, Zhenjiang, China; College of Automation, Jiangsu University of Science and Technology, Zhenjiang, China; Ocean College, Zhejiang University, Zhoushan, China",0,0,,,Point cloud compression;Geometry;Visualization;Accuracy;Pose estimation;Feature extraction;Robot sensing systems;Reliability;Data mining;Visual perception,,https://github.com/wangzihanggg/DMG6D,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711760,,,10.1109/CASE59546.2024.10711760,False,"The accurate estimation of the 6-degree-of-freedom pose of a target object in the environment plays a pivotal role in robot perception, providing a foundation for interaction and manipulation between robots and the surrounding environment. Nonetheless, traditional vision sensors are prone to diminished reliability in visual perception due to environmental factors such as lighting conditions and occlusions. Depth sensors, such as Time-of-Flight (TOF) and structured light sensors, offer promising opportunities for reliable target pose estimation. However, accurately determining the pose solely based on a single depth image presents significant challenges due to the limited availability of rich appearance and texture information. To comprehensively address this challenge, we investigate the mechanism of feature extraction and representation using depth images, along with the utilization of normal angle and point cloud information derived from the depth images, to achieve robust estimation of the visual target poses. By exploiting the latent information within the depth images, including normal angles and point clouds, we have developed the DMG6D robust target pose estimation framework. Within the DMG6D framework, we first employ physical methods to infer the normal angle and spatial position of each pixel in the depth image. Subsequently, we introduce a three-branch feature extraction and a global feature fusion network to enable a comprehensive depiction of the target object. Finally, a robust pose estimation for the target object is obtained utilizing the least squares method. Experimental results emphatically demonstrate that the proposed DMG6D surpasses existing algorithms in terms of its ability to estimate 6D poses using depth images, effectively underscoring the efficacy of our designed depth image feature extraction strategy. Access to the code and video is available at https://github.com/wangzihanggg/DMG6D.",979-8-3503-5851-3,2
691.0,,An Examination of Offline-Trained Encoders in Vision-Based Deep Reinforcement Learning for Autonomous Driving,S. Mohammed; A. Argun; N. Bonnotte; G. Ascheid,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"Research Division, Akkodis Germany Solutions GmbH, Sindelfingen; Department of Electrical Engineering, Institute for Communication Technologies and Embedded Systems (ICE), RWTH Aachen University, Aachen, Germany; Research Division, Akkodis Germany Solutions GmbH, Sindelfingen; Department of Electrical Engineering, Institute for Communication Technologies and Embedded Systems (ICE), RWTH Aachen University, Aachen, Germany",0,0,,,Training;Representation learning;Scalability;Zero shot learning;Contrastive learning;Deep reinforcement learning;Transformers;Spatiotemporal phenomena;Collision avoidance;Autonomous vehicles,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711548,,,10.1109/CASE59546.2024.10711548,False,"Our research investigates the challenges Deep Reinforcement Learning (DRL) faces in complex, Partially Observable Markov Decision Processes (POMDP) such as autonomous driving (AD), and proposes a solution for vision-based navigation in these environments. Partial observability reduces RL performance significantly, and this can be mitigated by augmenting sensor information and data fusion to reflect a more Markovian environment. However, this necessitates an increasingly complex perception module, whose training via RL is complicated due to inherent limitations. As the neural network architecture becomes more complex, the reward function’s effectiveness as an error signal diminishes since the only source of supervision is the reward, which is often noisy, sparse, and delayed. Task-irrelevant elements in images, such as the sky or certain objects, pose additional complexities. Our research adopts an offline-trained encoder to leverage large video datasets through self-supervised learning to learn generalizable representations. Then, we train a head network on top of these representations through DRL to learn to control an ego vehicle in the CARLA AD simulator. This study presents a broad investigation of the impact of different learning schemes for offline-training of encoders on the performance of DRL agents in challenging AD tasks. Furthermore, we show that the features learned by watching BDD100K driving videos can be directly transferred to achieve lane following and collision avoidance in CARLA simulator, in a zero-shot learning fashion. Finally, we explore the impact of various architectural decisions for the RL networks to utilize the transferred representations efficiently. Therefore, in this work, we introduce and validate an optimal way for obtaining suitable representations of the environment, and transferring them to RL networks. We experimentally demonstrate the correlation between RL performance in the CARLA simulator and the quality of representations received by the RL agent. These results highlight the crucial role that feature extraction and state representation play in RL.",979-8-3503-5851-3,2
692.0,,DuHa: a dual-hand action segmentation method for human-robot collaborative assembly,H. Zheng; R. Lee; Y. Lu; X. Xu,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"Department of Mechanical and Mechatronics Engineering, The University of Auckland, New Zealand; Department of Mechanical and Mechatronics Engineering, The University of Auckland, New Zealand; Department of Mechanical and Mechatronics Engineering, The University of Auckland, New Zealand; Department of Mechanical and Mechatronics Engineering, The University of Auckland, New Zealand",0,0,,,Accuracy;Motion segmentation;Taxonomy;Collaboration;Human-robot interaction;Feature extraction;Real-time systems;Timing;Assembly;Robots,,https://github.com/LISMS-AKL-NZ/DuHa,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711776,,,10.1109/CASE59546.2024.10711776,False,"Human-robot collaboration (HRC) is crucial for enabling mass personalised manufacturing and human-centric manufacturing. The recent advancements in video understanding technology have enabled robots to interpret human actions from videos and discern the appropriate timing and nature of required robot assistance. However, current vision-based HRC systems mainly focus on capturing human overall actions, neglecting the detailed actions of each hand. This restricts robots from providing finer attentive assistance, such as delivering the required tools to a specific hand. Furthermore, these systems predominantly utilise classification-based action recognition techniques rather than reasoning-involved action segmentation techniques, thereby constraining their practical application. To address above limitations, this paper proposes a vision-based dual-hand action segmentation method for human-robot collaborative assembly (HRCA) scenarios. Initially, graph neural networks are used to capture hand-object interactions for both hands across frames, then these features are integrated with scene features, and finally, temporal convolutional networks are applied to capture temporal dynamics of the integrated features over frames. To better serve the application needs of HRCA, we have refined the action segmentation to atomic action level according to the Human-Robot Shared Assembly Taxonomy, facilitating comprehensive collaboration. More details can be found at https://github.com/LISMS-AKL-NZ/DuHa",979-8-3503-5851-3,2
693.0,,"Multimodal Human Detection using RGB, Thermal and LiDAR modalities for Robotic Perception",K. O. S. Mota; L. Garrote; C. Premebida,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"Department of Electrical and Computer Engineering, Institute of Systems and Robotics, University of Coimbra, Portugal; Department of Electrical and Computer Engineering, Institute of Systems and Robotics, University of Coimbra, Portugal; Department of Electrical and Computer Engineering, Institute of Systems and Robotics, University of Coimbra, Portugal",0,0,,,YOLO;Laser radar;Machine learning algorithms;Surveillance;Soft sensors;Thermal engineering;Robot vision systems;Security;Mobile robots;Software development management,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711565,,,10.1109/CASE59546.2024.10711565,False,"People detection is a relevant research topic in artificial perception with wide range of applications from security, surveillance, robotics to autonomous driving. Overcoming challenges in this field involves advanced algorithms, combination of machine learning approaches, as well as the use of sensory data e.g., from cameras and LiDARs. This work addresses the problem of people detection using YOLO, a state-of-the-art object detection method, trained on three distinct data sources LiDAR, RGB (color) and ‘thermal’ (long-wave infra-red) images. The rationale for combining multiple-sensory representation relies on the assumption that each sensor has its own advantages and disadvantages, but together they normally complement each other - specially in real-world conditions. LiDAR contributes to a physically-interpretable mapping of the environment, providing precise information regarding size/dimension and location of the objects, while RGB and thermal provide relevant textural features. The sensors have been calibrated w.r.t. each other thus, allowing the LiDAR’s point-clouds to be projected into the image plane, followed by an up-sampling step, to create dense-depth maps (DM) that enable direct use of the YOLO framework. To support the experiments, a new multi-sensory dataset has been collected using a mobile robot. Besides single-modality models, this paper also explores early and late-fusion strategies. Finally, the new dataset has been made available in a Github repository 1.",979-8-3503-5851-3,2
694.0,,Automating Deformable Gasket Assembly,S. Adebola; T. Sadjadpour; K. El-Refai; W. Panitch; Z. Ma; R. Lin; T. Qiu; S. Ganti; C. Le; J. Drake; K. Goldberg,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley; The AUTOLab, UC Berkeley",0,0,,,Solid modeling;Computer aided software engineering;Codes;Imitation learning;Gaskets;Surface fitting;Data models;Automobiles;Assembly;Videos,,https://github.com/BerkeleyAutomation/gasket-assembly,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711836,,,10.1109/CASE59546.2024.10711836,False,"In Gasket Assembly, a deformable gasket must be aligned and pressed into a narrow channel. This task is common for sealing surfaces in the manufacturing of automobiles, appliances, electronics, and other products. Gasket Assembly is a long-horizon, high-precision task and the gasket must align with the channel and be fully pressed in to achieve a secure fit. To compare approaches, we present 4 methods for Gasket Assembly: one policy from deep imitation learning and three procedural algorithms. We evaluate these methods with 100 physical trials. Results suggest that the Binary+ algorithm succeeds in 10/10 on the straight channel whereas the learned policy based on 250 human teleoperated demonstrations succeeds in 8/10 trials and is significantly slower. Code, CAD models, videos, and data can be found at https://berkeleyautomation.github.io/robot-gasket/.",979-8-3503-5851-3,2
695.0,,Conquering the Robotic Software Development Cycle at Scale: Using KubeROS from Simulation to Real-world Deployment,Y. Zhang; F. Pasch; F. Mirus; K. -U. Scholl; C. Wurll; B. Hein,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"Karlsruhe University of Applied Sciences, Karlsruhe, Germany; Intel Labs, Karlsruhe, Germany; Intel Labs, Karlsruhe, Germany; Intel Labs, Karlsruhe, Germany; Karlsruhe University of Applied Sciences, Karlsruhe, Germany; Karlsruhe University of Applied Sciences, Karlsruhe, Germany",0,0,,,Training;Location awareness;Navigation;Scalability;Microservice architectures;Full stack;Production;Software;Mobile robots;Software development management,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711591,,,10.1109/CASE59546.2024.10711591,False,"Integrating state-of-the-art robotics algorithms into a working system remains a challenge, especially for large-scale deployments. One promising way to address such issues is to apply to robotics the massive cloud and edge computing that already powers AI research from training to deployment. In this paper, we extend the KubeROS platform to serve as a one-stop solution aimed at facilitating robotic development cycles from research to deployment. The closed-loop workflow maintains a single software stack containing many microservice-oriented and containerized software modules across all stages. In addition to the architectural adaptation, we develop a new subsystem called BatchJob to leverage cloud/edge to efficiently run experiments at scale and evaluate the system with statistical significance. Finally, our approach enables a seamless transition to production and closes the cycle for continuous improvement. To demonstrate its applicability and scalability, we choose mobile robot navigation as an example and perform experiments on three levels: comparison of localization approaches with benchmark datasets, testing and evaluation with closed-loop simulation, and evaluation on a real robot. Compared to sequential execution on a single machine, our approach accelerates experiments by at least a factor of 30 on a 9-node edge cluster. Our platform and code to reproduce the experiments are available on Github.1",979-8-3503-5851-3,2
696.0,,Simple But Effective: Rethinking the Ability of Deep Learning in fNIRS to Exclude Abnormal Input,Z. Cao,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"Department of Mathematics, ETH, Zurich, Switzerland",0,0,,,Deep learning;Training;Measurement;Computer aided software engineering;Transformers;Data models;Reliability;Functional near-infrared spectroscopy;Monitoring;Testing,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711774,,,10.1109/CASE59546.2024.10711774,False,"Functional near-infrared spectroscopy (fNIRS) is a non-invasive technique for monitoring brain activity. To better understand the brain, researchers often use deep learning to address the classification challenges of fNIRS data. Our study shows that while current networks in fNIRS are highly accurate for predictions within their training distribution, they falter at identifying and excluding abnormal data which is out-of-distribution, affecting their reliability. We propose integrating metric learning and supervised methods into fNIRS research to improve networks capability in identifying and excluding out-of-distribution outliers. This method is simple yet effective. In our experiments, it significantly enhanced the performance of various networks in fNIRS, particularly transformer-based one, which shows the great improvement in reliability. We will make our experiment data available on GitHub‡.",979-8-3503-5851-3,2
697.0,,Region of Interest Loss for Anonymizing Learned Image Compression,C. Liebender; R. Bezerra; K. Ohno; S. Tadokoro,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"Graduate School of Information Sciences, Tohoku University, Japan; Graduate School of Information Sciences, Tohoku University, Japan; Graduate School of Information Sciences, Tohoku University, Japan; Graduate School of Information Sciences, Tohoku University, Japan",0,0,,,Training;Data privacy;Image coding;Surveillance;Transform coding;Transforms;Cameras;Information filtering;Faces;Information integrity,,https://github.com/BRN-Hub/anon-compression,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711721,,,10.1109/CASE59546.2024.10711721,False,"The use of AI in public spaces continually raises concerns about privacy and the protection of sensitive data. An example is the deployment of detection and recognition methods on humans, where images are provided by surveillance cameras. This results in the acquisition of great amounts of sensitive data, since the capture and transmission of images taken by such cameras happens unaltered, for them to be received by a server on the network. However, many applications do not explicitly require the identity of a given person in a scene; An anonymized representation containing information of the person’s position while preserving the context of them in the scene suffices. We show how using a customized loss function on region of interests (ROI) can achieve sufficient anonymization such that human faces become unrecognizable while persons are kept detectable, by training an end-to-end optimized autoencoder for learned image compression that utilizes the flexibility of the learned analysis and reconstruction transforms for the task of mutating parts of the compression result. This approach enables compression and anonymization in one step on the capture device, instead of transmitting sensitive, nonanonymized data over the network. Additionally, we evaluate how this anonymization impacts the average precision of pre-trained foundation models on detecting faces (MTCNN) and humans (YOLOv8) in comparison to non-ANN based methods, while considering compression rate and latency. The code and model weights for this approach, including usage examples are publicly available on GitHub: https://github.com/BRN-Hub/anon-compression",979-8-3503-5851-3,2
698.0,,6D Assembly Pose Estimation by Point Cloud Registration for Robotic Manipulation,K. Samarawickrama; G. Sharma; A. Angleraud; R. Pieters,2024,,,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),IEEE,"Automation Technology and Mechanical Engineering, Tampere University, Tampere, Finland; Automation Technology and Mechanical Engineering, Tampere University, Tampere, Finland; Automation Technology and Mechanical Engineering, Tampere University, Tampere, Finland; Automation Technology and Mechanical Engineering, Tampere University, Tampere, Finland",0,0,,,Point cloud compression;Measurement;Solid modeling;Three-dimensional displays;Semantic segmentation;Source coding;Pose estimation;Transforms;Assembly;Synthetic data,,https://github.com/KulunuOS/6DAPose,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711374,,,10.1109/CASE59546.2024.10711374,False,"The demands on robotic manipulation skills to perform challenging tasks have drastically increased in recent times. To perform these tasks with dexterity, robots require perception tools to understand the scene and extract useful information that transforms to robot control inputs. To this end, recent research has introduced various object pose estimation and grasp pose detection methods that yield precise results. Assembly pose estimation is a secondary yet highly desirable skill in robotic assembling as it requires more detailed information on object placement as compared to bin picking and pick-and-place tasks. However, it has been often overlooked in research due to the complexity of integration in an agile framework. To address this issue, we propose an assembly pose estimation method with RGB-D input and 3D CAD models of the associated objects. The framework consists of semantic segmentation of the scene and registering point clouds of local surfaces against target point clouds derived from CAD models to estimate 6D poses. We show that our method can deliver sufficient accuracy for assembling object assemblies using evaluation metrics and demonstrations. The source code and dataset for the work can be found at: https://github.com/KulunuOS/6DAPose",979-8-3503-5851-3,2
